order_id,customer_id,employee_id,product_id,quantity,order_date
1,235,57,15,4,2024-03-04
2,345,83,20,7,2025-10-21
3,534,66,5,7,2025-09-19
4,860,22,7,7,2025-09-01
5,797,20,18,7,2024-08-26
6,781,33,11,2,2024-10-09
7,466,72,32,5,2025-03-17
8,770,25,50,2,2024-10-26
9,541,46,27,5,2024-04-02
10,213,73,26,6,2025-07-30
11,463,98,37,3,2025-01-09
12,436,57,45,6,2025-11-16
13,283,87,28,5,2024-11-05
14,562,5,50,4,2024-06-15
15,607,55,2,9,2024-01-07
16,463,61,20,8,2024-02-12
17,407,89,4,7,2024-12-05
18,88,8,13,1,2024-06-01
19,44,16,24,9,2024-02-12
20,461,48,48,9,2025-12-25
21,278,61,38,6,2024-07-19
22,683,15,40,7,2025-10-28
23,421,65,48,3,2025-10-26
24,701,22,45,5,2025-07-01
25,353,3,29,7,2024-08-13
26,696,54,36,1,2025-09-24
27,515,14,2,1,2025-06-04
28,703,36,41,5,2024-12-04
29,630,82,18,9,2024-11-30
30,19,82,49,7,2024-06-29
31,23,67,8,1,2025-06-16
32,413,10,15,5,2024-09-28
33,30,49,41,8,2024-07-12
34,807,65,17,8,2025-06-21
35,108,91,23,2,2025-04-25
36,367,57,2,7,2024-04-07
37,281,27,6,5,2025-03-05
38,128,75,29,9,2025-05-26
39,229,5,27,3,2024-11-22
40,111,71,37,1,2025-07-31
41,136,83,49,4,2025-02-19
42,362,57,34,7,2024-04-20
43,186,93,18,1,2024-07-30
44,656,15,42,2,2025-11-13
45,584,99,10,5,2025-07-24
46,129,76,38,9,2024-01-30
47,876,30,44,1,2024-09-23
48,261,20,17,4,2025-10-27
49,515,37,13,3,2024-12-15
50,449,3,48,5,2025-05-28
51,900,73,42,5,2025-11-11
52,104,41,27,2,2024-08-01
53,483,39,2,5,2024-09-07
54,224,26,34,9,2025-06-26
55,832,2,31,5,2024-11-14
56,874,23,23,2,2024-07-01
57,866,23,7,7,2024-07-07
58,491,85,38,6,2025-12-25
59,473,16,33,7,2024-05-06
60,10,9,12,8,2024-10-22
61,405,13,45,5,2024-01-23
62,896,28,12,2,2025-06-13
63,302,27,19,7,2024-03-19
64,231,51,9,7,2025-06-29
65,731,64,10,8,2025-04-14
66,923,52,17,7,2025-09-10
67,66,81,50,7,2024-10-31
68,937,38,40,9,2025-03-23
69,112,100,39,8,2024-07-17
70,13,65,41,2,2024-07-09
71,393,18,10,2,2024-08-19
72,500,63,12,7,2025-07-27
73,932,51,15,3,2025-07-07
74,598,9,31,1,2024-01-24
75,234,13,15,9,2025-11-05
76,602,40,28,3,2025-04-05
77,314,55,4,1,2024-07-01
78,566,79,36,6,2025-03-08
79,12,43,1,4,2025-08-29
80,209,44,44,1,2024-03-23
81,974,68,34,4,2024-04-02
82,14,33,47,8,2024-10-04
83,633,24,17,7,2025-09-08
84,418,36,39,1,2024-03-25
85,437,10,38,9,2025-07-26
86,377,100,44,6,2024-07-26
87,20,20,33,2,2025-10-31
88,587,75,21,3,2025-08-03
89,912,12,26,7,2025-03-19
90,755,62,46,3,2025-01-04
91,735,18,36,3,2025-10-12
92,70,94,5,5,2025-04-20
93,824,63,33,3,2025-05-18
94,211,84,1,3,2024-08-18
95,101,25,6,5,2024-12-25
96,698,12,37,5,2025-07-16
97,132,21,2,9,2024-01-19
98,623,25,5,1,2025-11-20
99,381,11,26,1,2024-07-27
100,132,64,41,9,2024-05-10
101,20,73,47,5,2025-01-18
102,906,50,13,4,2024-04-01
103,536,62,12,2,2025-06-26
104,227,89,5,9,2024-12-27
105,154,99,2,6,2024-05-03
106,805,96,4,9,2025-10-09
107,742,49,27,5,2024-09-29
108,469,14,50,4,2024-12-20
109,822,1,10,7,2024-04-09
110,1000,81,13,5,2025-09-07
111,871,25,44,8,2024-10-27
112,405,59,2,8,2025-08-31
113,202,72,26,2,2024-07-21
114,38,69,15,5,2024-01-21
115,942,5,46,8,2024-07-16
116,772,99,10,3,2024-04-21
117,188,19,22,7,2024-05-28
118,57,23,40,3,2025-01-15
119,941,9,25,6,2024-07-01
120,20,94,15,2,2024-12-02
121,273,50,13,6,2024-12-03
122,119,16,8,6,2024-10-26
123,583,33,21,8,2025-08-23
124,516,2,21,5,2024-08-09
125,221,14,22,1,2025-02-12
126,526,1,46,8,2025-11-19
127,515,90,33,9,2024-04-27
128,728,58,45,1,2024-06-22
129,741,89,27,5,2024-08-06
130,336,16,40,6,2025-01-10
131,698,79,50,4,2025-12-30
132,55,90,22,2,2024-11-14
