payment_id,order_id,payment_method,payment_status
1,1,Card,Pending
2,2,Card,Paid
3,3,Bank Transfer,Paid
4,4,Card,Pending
5,5,Cash,Paid
6,6,Bank Transfer,Paid
7,7,Bank Transfer,Paid
8,8,Card,Paid
9,9,Cash,Paid
10,10,Bank Transfer,Pending
11,11,Card,Paid
12,12,Cash,Paid
13,13,Cash,Paid
14,14,Bank Transfer,Paid
15,15,Card,Paid
16,16,Cash,Paid
17,17,Bank Transfer,Paid
18,18,Bank Transfer,Paid
19,19,Bank Transfer,Refunded
20,20,Bank Transfer,Pending
21,21,Bank Transfer,Paid
22,22,Cash,Paid
23,23,Bank Transfer,Paid
24,24,Card,Paid
25,25,Card,Paid
26,26,Cash,Paid
27,27,Bank Transfer,Paid
28,28,Bank Transfer,Paid
29,29,Cash,Paid
30,30,Bank Transfer,Paid
31,31,Bank Transfer,Paid
32,32,Card,Paid
33,33,Bank Transfer,Pending
34,34,Cash,Paid
35,35,Card,Pending
36,36,Cash,Paid
37,37,Cash,Paid
38,38,Bank Transfer,Paid
39,39,Bank Transfer,Paid
40,40,Card,Paid
41,41,Cash,Refunded
42,42,Cash,Paid
43,43,Bank Transfer,Paid
44,44,Cash,Paid
45,45,Cash,Paid
46,46,Cash,Refunded
47,47,Cash,Paid
48,48,Cash,Paid
49,49,Card,Paid
50,50,Cash,Paid
51,51,Cash,Paid
52,52,Card,Paid
53,53,Bank Transfer,Paid
54,54,Bank Transfer,Paid
55,55,Card,Paid
56,56,Card,Pending
57,57,Bank Transfer,Paid
58,58,Cash,Pending
59,59,Cash,Paid
60,60,Card,Paid
61,61,Cash,Paid
62,62,Card,Refunded
63,63,Bank Transfer,Paid
64,64,Cash,Paid
65,65,Bank Transfer,Paid
66,66,Cash,Paid
67,67,Cash,Paid
68,68,Cash,Paid
69,69,Card,Paid
70,70,Bank Transfer,Refunded
71,71,Card,Paid
72,72,Card,Paid
73,73,Bank Transfer,Paid
74,74,Bank Transfer,Paid
75,75,Card,Pending
76,76,Card,Refunded
77,77,Card,Paid
78,78,Bank Transfer,Pending
79,79,Card,Paid
80,80,Bank Transfer,Paid
81,81,Card,Paid
82,82,Bank Transfer,Paid
83,83,Card,Paid
84,84,Cash,Paid
85,85,Cash,Paid
86,86,Bank Transfer,Paid
87,87,Bank Transfer,Paid
88,88,Cash,Paid
89,89,Bank Transfer,Paid
90,90,Bank Transfer,Paid
91,91,Cash,Paid
92,92,Card,Refunded
93,93,Bank Transfer,Pending
94,94,Bank Transfer,Paid
95,95,Card,Paid
96,96,Card,Paid
97,97,Bank Transfer,Paid
98,98,Bank Transfer,Paid
99,99,Card,Paid
100,100,Bank Transfer,Paid
101,101,Card,Paid
102,102,Card,Paid
103,103,Bank Transfer,Pending
